DAY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
07-02,100.0,108.0,105.0,97.0,100.0,106.0,105.0,98.0,104.0,103.0,93.0,105.0,103.0,102.0
07-03,100.0,109.0,99.0,96.0,102.0,104.0,99.0,94.0,100.0,96.0,99.0,104.0,103.0,100.0
07-04,101.0,107.0,99.0,100.0,98.0,102.0,90.0,100.0,96.0,96.0,103.0,105.0,102.0,100.0
07-05,94.0,100.0,101.0,104.0,99.0,103.0,94.0,101.0,96.0,91.0,104.0,107.0,103.0,100.0
07-06,96.0,95.0,100.0,103.0,102.0,102.0,98.0,102.0,92.0,97.0,100.0,107.0,100.0,100.0
07-07,90.0,99.0,89.0,101.0,102.0,104.0,94.0,105.0,99.0,97.0,97.0,105.0,100.0,99.0
07-08,97.0,101.0,93.0,103.0,97.0,103.0,95.0,102.0,97.0,98.0,102.0,104.0,102.0,100.0
07-09,101.0,102.0,87.0,103.0,98.0,103.0,98.0,102.0,96.0,90.0,105.0,103.0,94.0,99.0
07-10,103.0,100.0,84.0,108.0,99.0,100.0,96.0,100.0,99.0,86.0,105.0,104.0,88.0,98.0
07-11,106.0,97.0,85.0,107.0,94.0,92.0,100.0,94.0,100.0,97.0,104.0,97.0,89.0,97.0
07-12,105.0,98.0,90.0,106.0,101.0,96.0,99.0,97.0,100.0,99.0,104.0,103.0,92.0,99.0
07-13,108.0,101.0,88.0,107.0,106.0,100.0,101.0,100.0,99.0,97.0,104.0,103.0,95.0,101.0
07-14,108.0,99.0,85.0,106.0,100.0,98.0,98.0,102.0,96.0,95.0,106.0,98.0,90.0,99.0
07-15,102.0,100.0,95.0,100.0,106.0,99.0,94.0,100.0,93.0,94.0,108.0,97.0,92.0,98.0
07-16,100.0,103.0,100.0,103.0,98.0,106.0,93.0,83.0,99.0,95.0,104.0,93.0,95.0,98.0
07-17,100.0,103.0,102.0,102.0,104.0,105.0,97.0,90.0,99.0,85.0,102.0,93.0,98.0,98.0
07-18,108.0,105.0,102.0,105.0,102.0,101.0,102.0,86.0,99.0,94.0,99.0,95.0,101.0,100.0
07-19,99.0,103.0,96.0,107.0,103.0,96.0,99.0,92.0,101.0,92.0,101.0,94.0,104.0,99.0
07-20,105.0,99.0,91.0,105.0,104.0,100.0,96.0,95.0,101.0,98.0,98.0,91.0,105.0,99.0
07-21,107.0,93.0,92.0,96.0,99.0,100.0,92.0,91.0,101.0,100.0,103.0,92.0,103.0,98.0
07-22,106.0,91.0,92.0,100.0,91.0,101.0,95.0,95.0,107.0,96.0,103.0,94.0,106.0,98.0
07-23,103.0,91.0,95.0,99.0,93.0,99.0,99.0,98.0,100.0,92.0,106.0,94.0,112.0,99.0
07-24,105.0,96.0,100.0,97.0,93.0,95.0,91.0,94.0,103.0,99.0,103.0,89.0,107.0,98.0
07-25,104.0,90.0,99.0,98.0,89.0,96.0,99.0,90.0,104.0,102.0,101.0,92.0,110.0,98.0
07-26,99.0,95.0,95.0,104.0,90.0,95.0,104.0,93.0,105.0,103.0,102.0,97.0,108.0,99.0
07-27,88.0,89.0,93.0,108.0,92.0,101.0,99.0,90.0,102.0,101.0,105.0,97.0,99.0,97.0
07-28,83.0,83.0,96.0,107.0,94.0,103.0,90.0,99.0,93.0,99.0,103.0,93.0,99.0,96.0
07-29,83.0,90.0,99.0,103.0,93.0,96.0,95.0,100.0,98.0,97.0,103.0,93.0,103.0,96.0
07-30,83.0,94.0,104.0,102.0,90.0,98.0,97.0,103.0,102.0,94.0,99.0,89.0,103.0,97.0
07-31,78.0,90.0,106.0,103.0,87.0,99.0,94.0,101.0,96.0,98.0,97.0,96.0,100.0,96.0
08-01,88.0,93.0,103.0,106.0,88.0,97.0,97.0,87.0,93.0,96.0,94.0,90.0,105.0,95.0
08-02,93.0,89.0,104.0,102.0,94.0,104.0,99.0,96.0,87.0,98.0,89.0,92.0,103.0,96.0
08-03,92.0,90.0,99.0,106.0,98.0,102.0,98.0,100.0,90.0,103.0,93.0,93.0,105.0,98.0
08-04,81.0,91.0,94.0,106.0,101.0,102.0,99.0,101.0,92.0,105.0,93.0,94.0,105.0,97.0
08-05,93.0,90.0,96.0,104.0,102.0,101.0,102.0,93.0,96.0,107.0,95.0,96.0,107.0,99.0
08-06,92.0,80.0,99.0,99.0,98.0,97.0,104.0,90.0,98.0,100.0,99.0,96.0,109.0,97.0
08-07,94.0,88.0,100.0,102.0,90.0,100.0,106.0,94.0,93.0,93.0,100.0,97.0,105.0,97.0
08-08,98.0,93.0,94.0,98.0,92.0,102.0,104.0,98.0,97.0,92.0,102.0,97.0,100.0,97.0
08-09,94.0,97.0,94.0,100.0,96.0,101.0,107.0,100.0,100.0,98.0,90.0,99.0,90.0,97.0
08-10,95.0,93.0,97.0,102.0,99.0,100.0,105.0,96.0,95.0,98.0,94.0,99.0,92.0,97.0
08-11,92.0,98.0,99.0,102.0,101.0,99.0,104.0,95.0,97.0,99.0,95.0,99.0,94.0,98.0
08-12,90.0,101.0,99.0,102.0,102.0,95.0,107.0,97.0,93.0,102.0,101.0,93.0,94.0,98.0
08-13,91.0,101.0,98.0,79.0,103.0,96.0,104.0,99.0,92.0,104.0,96.0,93.0,99.0,97.0
08-14,90.0,99.0,91.0,97.0,104.0,94.0,101.0,100.0,88.0,105.0,94.0,95.0,100.0,97.0
08-15,87.0,98.0,97.0,99.0,105.0,95.0,102.0,100.0,94.0,109.0,98.0,95.0,95.0,98.0
08-16,84.0,99.0,93.0,100.0,90.0,95.0,93.0,103.0,99.0,104.0,100.0,93.0,94.0,96.0
08-17,91.0,100.0,95.0,102.0,99.0,100.0,89.0,106.0,99.0,104.0,99.0,95.0,97.0,98.0
08-18,92.0,98.0,98.0,104.0,96.0,100.0,96.0,102.0,98.0,103.0,99.0,99.0,101.0,99.0
08-19,91.0,100.0,97.0,102.0,100.0,94.0,93.0,103.0,80.0,103.0,99.0,97.0,104.0,97.0
08-20,90.0,99.0,100.0,104.0,102.0,97.0,97.0,101.0,87.0,102.0,95.0,87.0,100.0,97.0
08-21,92.0,102.0,100.0,102.0,96.0,99.0,92.0,98.0,88.0,98.0,94.0,93.0,95.0,96.0
08-22,80.0,101.0,101.0,83.0,94.0,99.0,90.0,100.0,88.0,99.0,95.0,99.0,94.0,94.0
08-23,92.0,97.0,100.0,93.0,100.0,105.0,87.0,97.0,91.0,98.0,94.0,97.0,85.0,95.0
08-24,92.0,98.0,96.0,90.0,98.0,104.0,86.0,90.0,94.0,97.0,95.0,93.0,94.0,94.0
08-25,91.0,80.0,92.0,92.0,87.0,103.0,96.0,91.0,92.0,93.0,95.0,97.0,91.0,92.0
08-26,94.0,93.0,79.0,98.0,92.0,104.0,96.0,99.0,86.0,95.0,89.0,98.0,96.0,94.0
08-27,96.0,92.0,89.0,102.0,83.0,105.0,98.0,97.0,92.0,94.0,91.0,100.0,97.0,95.0
08-28,97.0,96.0,93.0,100.0,88.0,104.0,97.0,91.0,95.0,99.0,93.0,98.0,98.0,96.0
08-29,94.0,98.0,89.0,101.0,91.0,106.0,97.0,89.0,97.0,99.0,95.0,97.0,99.0,96.0
08-30,94.0,96.0,87.0,100.0,90.0,105.0,97.0,93.0,100.0,97.0,95.0,97.0,99.0,96.0
08-31,94.0,95.0,79.0,99.0,92.0,105.0,99.0,96.0,100.0,96.0,93.0,97.0,98.0,96.0
09-01,93.0,95.0,89.0,99.0,96.0,102.0,101.0,100.0,100.0,88.0,91.0,99.0,86.0,95.0
09-02,89.0,94.0,94.0,98.0,98.0,101.0,102.0,100.0,100.0,91.0,95.0,94.0,84.0,95.0
09-03,80.0,94.0,88.0,97.0,96.0,103.0,100.0,99.0,101.0,85.0,99.0,100.0,89.0,95.0
09-04,84.0,95.0,94.0,95.0,94.0,99.0,96.0,100.0,98.0,82.0,99.0,100.0,90.0,94.0
09-05,80.0,96.0,96.0,92.0,98.0,91.0,96.0,100.0,93.0,78.0,103.0,100.0,94.0,94.0
09-06,90.0,90.0,98.0,91.0,94.0,95.0,95.0,97.0,92.0,93.0,89.0,98.0,91.0,93.0
09-07,79.0,86.0,95.0,94.0,93.0,99.0,89.0,91.0,88.0,94.0,71.0,99.0,91.0,90.0
09-08,87.0,95.0,92.0,92.0,89.0,97.0,75.0,85.0,84.0,90.0,86.0,96.0,94.0,89.0
09-09,88.0,96.0,88.0,94.0,91.0,93.0,77.0,76.0,89.0,94.0,95.0,92.0,98.0,90.0
09-10,90.0,93.0,89.0,95.0,88.0,90.0,89.0,85.0,92.0,85.0,93.0,96.0,100.0,91.0
09-11,94.0,91.0,85.0,91.0,91.0,87.0,87.0,88.0,95.0,96.0,89.0,97.0,98.0,91.0
09-12,82.0,95.0,85.0,88.0,94.0,80.0,87.0,91.0,96.0,96.0,88.0,101.0,98.0,91.0
09-13,80.0,99.0,88.0,91.0,94.0,90.0,88.0,89.0,85.0,99.0,90.0,102.0,98.0,92.0
09-14,85.0,99.0,92.0,94.0,96.0,84.0,83.0,92.0,89.0,95.0,89.0,97.0,101.0,92.0
09-15,87.0,99.0,86.0,94.0,99.0,81.0,82.0,92.0,92.0,94.0,91.0,93.0,100.0,92.0
09-16,85.0,94.0,84.0,94.0,99.0,87.0,93.0,91.0,79.0,95.0,89.0,93.0,99.0,91.0
09-17,86.0,93.0,86.0,88.0,96.0,87.0,91.0,93.0,78.0,94.0,89.0,94.0,101.0,90.0
09-18,86.0,89.0,88.0,84.0,98.0,90.0,91.0,92.0,77.0,96.0,94.0,94.0,100.0,91.0
09-19,90.0,92.0,91.0,88.0,97.0,94.0,95.0,94.0,88.0,85.0,95.0,94.0,88.0,92.0
09-20,86.0,90.0,95.0,92.0,96.0,96.0,96.0,92.0,90.0,90.0,89.0,93.0,88.0,92.0
09-21,84.0,91.0,95.0,96.0,96.0,96.0,96.0,90.0,89.0,76.0,93.0,94.0,92.0,91.0
09-22,89.0,93.0,94.0,85.0,76.0,95.0,96.0,89.0,87.0,81.0,95.0,90.0,88.0,89.0
09-23,81.0,84.0,94.0,83.0,86.0,96.0,96.0,87.0,89.0,87.0,82.0,87.0,88.0,88.0
09-24,85.0,85.0,95.0,86.0,91.0,96.0,94.0,91.0,94.0,92.0,82.0,84.0,91.0,90.0
09-25,87.0,87.0,90.0,90.0,94.0,95.0,92.0,92.0,91.0,90.0,88.0,85.0,92.0,90.0
09-26,91.0,92.0,89.0,94.0,93.0,91.0,92.0,90.0,88.0,92.0,76.0,87.0,91.0,90.0
09-27,94.0,92.0,89.0,96.0,91.0,92.0,89.0,81.0,87.0,94.0,79.0,85.0,94.0,89.0
09-28,92.0,93.0,89.0,98.0,94.0,93.0,79.0,81.0,90.0,96.0,81.0,86.0,94.0,90.0
09-29,91.0,89.0,88.0,97.0,99.0,95.0,88.0,86.0,87.0,96.0,90.0,88.0,94.0,91.0
09-30,93.0,92.0,89.0,92.0,99.0,90.0,94.0,90.0,83.0,98.0,82.0,90.0,94.0,91.0
10-01,93.0,78.0,90.0,86.0,95.0,90.0,91.0,89.0,85.0,96.0,87.0,93.0,82.0,89.0
10-02,92.0,86.0,91.0,85.0,96.0,92.0,95.0,88.0,85.0,95.0,86.0,94.0,90.0,90.0
10-03,91.0,91.0,87.0,74.0,91.0,87.0,95.0,88.0,88.0,90.0,85.0,92.0,88.0,88.0
10-04,95.0,91.0,84.0,87.0,85.0,80.0,91.0,84.0,91.0,85.0,81.0,95.0,86.0,87.0
10-05,91.0,90.0,78.0,83.0,85.0,79.0,89.0,78.0,91.0,79.0,83.0,96.0,85.0,85.0
10-06,79.0,80.0,81.0,85.0,89.0,77.0,87.0,82.0,86.0,80.0,82.0,94.0,84.0,84.0
10-07,88.0,78.0,86.0,85.0,90.0,69.0,87.0,87.0,88.0,70.0,88.0,88.0,71.0,83.0
10-08,83.0,88.0,88.0,75.0,86.0,71.0,88.0,88.0,75.0,80.0,84.0,89.0,72.0,82.0
10-09,70.0,92.0,90.0,80.0,84.0,76.0,88.0,85.0,71.0,83.0,82.0,83.0,72.0,81.0
10-10,75.0,94.0,90.0,81.0,84.0,81.0,89.0,72.0,80.0,82.0,88.0,80.0,78.0,83.0
10-11,79.0,92.0,79.0,83.0,85.0,86.0,88.0,73.0,80.0,81.0,89.0,87.0,79.0,83.0
10-12,81.0,91.0,71.0,84.0,86.0,87.0,78.0,83.0,84.0,89.0,87.0,89.0,67.0,83.0
10-13,85.0,81.0,72.0,85.0,88.0,90.0,77.0,88.0,78.0,92.0,85.0,92.0,68.0,83.0
10-14,78.0,78.0,73.0,85.0,88.0,93.0,85.0,81.0,83.0,93.0,87.0,92.0,70.0,84.0
10-15,68.0,79.0,80.0,88.0,85.0,93.0,85.0,82.0,85.0,88.0,88.0,88.0,64.0,83.0
10-16,74.0,82.0,81.0,92.0,84.0,93.0,87.0,77.0,88.0,80.0,87.0,85.0,51.0,82.0
10-17,77.0,77.0,85.0,90.0,83.0,92.0,89.0,77.0,79.0,78.0,87.0,88.0,62.0,82.0
10-18,69.0,79.0,87.0,88.0,82.0,86.0,87.0,80.0,87.0,83.0,87.0,92.0,62.0,82.0
10-19,70.0,83.0,89.0,90.0,82.0,83.0,87.0,78.0,81.0,85.0,86.0,88.0,71.0,83.0
10-20,75.0,89.0,90.0,78.0,79.0,88.0,88.0,81.0,77.0,82.0,82.0,88.0,81.0,83.0
10-21,78.0,74.0,86.0,75.0,65.0,87.0,85.0,82.0,78.0,60.0,83.0,81.0,77.0,78.0
10-22,79.0,69.0,80.0,80.0,68.0,88.0,81.0,81.0,80.0,73.0,86.0,84.0,76.0,79.0
10-23,78.0,77.0,74.0,79.0,71.0,88.0,84.0,84.0,84.0,75.0,88.0,89.0,72.0,80.0
10-24,76.0,83.0,83.0,82.0,75.0,88.0,85.0,87.0,85.0,80.0,84.0,81.0,76.0,82.0
10-25,76.0,82.0,84.0,82.0,76.0,85.0,79.0,82.0,87.0,77.0,85.0,83.0,78.0,81.0
10-26,69.0,85.0,89.0,73.0,75.0,83.0,78.0,81.0,88.0,79.0,87.0,87.0,80.0,81.0
10-27,72.0,86.0,77.0,77.0,74.0,71.0,71.0,81.0,83.0,81.0,90.0,80.0,80.0,79.0
10-28,77.0,85.0,80.0,66.0,81.0,75.0,79.0,82.0,80.0,79.0,88.0,76.0,82.0,79.0
10-29,67.0,82.0,83.0,57.0,84.0,75.0,85.0,81.0,82.0,65.0,88.0,79.0,80.0,78.0
10-30,75.0,84.0,86.0,62.0,87.0,81.0,84.0,70.0,85.0,66.0,89.0,79.0,79.0,79.0
10-31,75.0,80.0,85.0,73.0,77.0,83.0,83.0,71.0,80.0,72.0,84.0,76.0,69.0,78.0
11-01,74.0,77.0,86.0,79.0,79.0,83.0,84.0,75.0,86.0,75.0,80.0,78.0,70.0,79.0
11-02,76.0,80.0,84.0,81.0,77.0,73.0,79.0,78.0,68.0,77.0,81.0,80.0,72.0,77.0
11-03,75.0,81.0,81.0,83.0,82.0,69.0,79.0,76.0,66.0,79.0,77.0,79.0,77.0,77.0
11-04,78.0,82.0,81.0,82.0,76.0,82.0,82.0,76.0,67.0,64.0,74.0,81.0,73.0,77.0
11-05,77.0,84.0,70.0,85.0,77.0,66.0,81.0,69.0,70.0,63.0,72.0,79.0,78.0,75.0
11-06,77.0,77.0,67.0,83.0,79.0,63.0,83.0,68.0,74.0,68.0,76.0,75.0,77.0,74.0
11-07,79.0,81.0,67.0,80.0,79.0,55.0,84.0,74.0,71.0,73.0,77.0,74.0,77.0,75.0
11-08,80.0,84.0,70.0,79.0,78.0,58.0,79.0,75.0,77.0,71.0,77.0,76.0,76.0,75.0
11-09,78.0,81.0,75.0,79.0,66.0,67.0,73.0,78.0,74.0,76.0,71.0,77.0,70.0,74.0
11-10,74.0,78.0,63.0,81.0,69.0,66.0,62.0,80.0,79.0,73.0,69.0,81.0,66.0,72.0
11-11,74.0,79.0,65.0,78.0,64.0,60.0,55.0,82.0,75.0,61.0,71.0,81.0,68.0,70.0
11-12,71.0,74.0,68.0,78.0,63.0,66.0,63.0,77.0,76.0,69.0,71.0,82.0,59.0,71.0
11-13,67.0,79.0,75.0,71.0,66.0,66.0,67.0,67.0,64.0,73.0,74.0,81.0,54.0,70.0
11-14,72.0,79.0,80.0,66.0,68.0,67.0,70.0,72.0,67.0,76.0,77.0,83.0,55.0,72.0
11-15,69.0,66.0,66.0,61.0,70.0,67.0,68.0,74.0,71.0,62.0,79.0,82.0,64.0,69.0
11-16,70.0,66.0,70.0,63.0,70.0,69.0,71.0,72.0,63.0,58.0,77.0,83.0,66.0,69.0
11-17,74.0,77.0,91.0,65.0,70.0,71.0,69.0,69.0,58.0,58.0,69.0,81.0,68.0,71.0
11-18,75.0,78.0,96.0,69.0,71.0,71.0,72.0,76.0,61.0,65.0,69.0,73.0,69.0,73.0
11-19,79.0,79.0,77.0,71.0,74.0,69.0,72.0,74.0,64.0,70.0,69.0,69.0,68.0,72.0
11-20,74.0,78.0,77.0,71.0,77.0,73.0,74.0,72.0,66.0,69.0,70.0,69.0,70.0,72.0
11-21,73.0,75.0,61.0,71.0,67.0,62.0,78.0,72.0,60.0,69.0,70.0,76.0,70.0,70.0
11-22,75.0,66.0,67.0,70.0,62.0,66.0,76.0,63.0,65.0,67.0,64.0,75.0,59.0,67.0
11-23,72.0,62.0,71.0,72.0,61.0,72.0,75.0,43.0,65.0,69.0,69.0,77.0,63.0,67.0
11-24,74.0,54.0,72.0,65.0,63.0,77.0,71.0,44.0,63.0,72.0,69.0,79.0,67.0,67.0
11-25,73.0,55.0,65.0,67.0,56.0,63.0,75.0,51.0,57.0,73.0,68.0,80.0,66.0,65.0
11-26,71.0,57.0,70.0,70.0,58.0,70.0,72.0,59.0,66.0,67.0,64.0,83.0,63.0,67.0
11-27,66.0,59.0,60.0,69.0,61.0,62.0,72.0,56.0,73.0,72.0,65.0,84.0,66.0,67.0
11-28,62.0,66.0,56.0,69.0,56.0,67.0,72.0,61.0,72.0,65.0,52.0,72.0,69.0,65.0
11-29,52.0,57.0,63.0,55.0,48.0,70.0,71.0,87.0,73.0,61.0,54.0,68.0,73.0,64.0
11-30,45.0,63.0,73.0,50.0,52.0,70.0,72.0,65.0,72.0,55.0,54.0,68.0,54.0,61.0
12-01,56.0,63.0,69.0,62.0,62.0,70.0,72.0,68.0,68.0,58.0,60.0,70.0,60.0,64.0
12-02,60.0,58.0,70.0,61.0,67.0,51.0,72.0,63.0,64.0,63.0,61.0,72.0,53.0,63.0
12-03,56.0,63.0,69.0,60.0,68.0,51.0,72.0,67.0,70.0,64.0,59.0,74.0,55.0,64.0
12-04,58.0,66.0,63.0,48.0,70.0,47.0,72.0,67.0,57.0,67.0,60.0,70.0,59.0,62.0
12-05,60.0,69.0,65.0,48.0,70.0,45.0,73.0,49.0,63.0,68.0,61.0,55.0,62.0,61.0
12-06,64.0,69.0,63.0,55.0,71.0,43.0,71.0,48.0,61.0,69.0,64.0,63.0,64.0,62.0
12-07,66.0,72.0,61.0,60.0,72.0,52.0,71.0,55.0,68.0,66.0,61.0,53.0,56.0,63.0
12-08,58.0,59.0,56.0,52.0,69.0,54.0,67.0,52.0,71.0,64.0,63.0,54.0,61.0,60.0
12-09,60.0,52.0,54.0,54.0,67.0,58.0,67.0,52.0,70.0,67.0,58.0,63.0,62.0,60.0
12-10,64.0,56.0,53.0,55.0,72.0,60.0,54.0,49.0,74.0,70.0,64.0,67.0,60.0,61.0
12-11,59.0,48.0,61.0,58.0,74.0,58.0,58.0,60.0,73.0,69.0,69.0,64.0,60.0,62.0
12-12,59.0,50.0,62.0,59.0,70.0,53.0,62.0,56.0,72.0,58.0,68.0,67.0,66.0,62.0
12-13,62.0,57.0,68.0,63.0,71.0,50.0,71.0,61.0,66.0,54.0,69.0,65.0,58.0,63.0
12-14,64.0,53.0,57.0,51.0,70.0,51.0,53.0,59.0,55.0,59.0,71.0,64.0,58.0,59.0
12-15,66.0,48.0,51.0,58.0,66.0,55.0,54.0,60.0,57.0,49.0,71.0,59.0,53.0,57.0
12-16,72.0,52.0,61.0,62.0,66.0,59.0,53.0,66.0,61.0,47.0,71.0,57.0,63.0,61.0
12-17,64.0,58.0,64.0,64.0,58.0,60.0,53.0,69.0,54.0,49.0,62.0,50.0,58.0,59.0
12-18,64.0,61.0,59.0,63.0,63.0,60.0,58.0,65.0,50.0,59.0,53.0,54.0,64.0,59.0
12-19,52.0,60.0,54.0,63.0,68.0,49.0,52.0,68.0,50.0,57.0,61.0,58.0,70.0,59.0
12-20,49.0,58.0,55.0,61.0,70.0,53.0,52.0,54.0,55.0,60.0,62.0,61.0,69.0,58.0
12-21,53.0,48.0,62.0,58.0,72.0,55.0,56.0,51.0,60.0,60.0,62.0,56.0,58.0,58.0
12-22,52.0,47.0,57.0,63.0,66.0,53.0,61.0,53.0,64.0,53.0,65.0,52.0,65.0,58.0
12-23,55.0,51.0,52.0,44.0,60.0,42.0,63.0,57.0,58.0,60.0,60.0,54.0,67.0,56.0
12-24,61.0,60.0,58.0,52.0,60.0,46.0,61.0,58.0,54.0,60.0,71.0,62.0,67.0,59.0
12-25,57.0,54.0,59.0,48.0,64.0,50.0,50.0,60.0,62.0,58.0,47.0,64.0,70.0,57.0
12-26,63.0,47.0,57.0,49.0,61.0,51.0,59.0,56.0,50.0,47.0,53.0,65.0,53.0,55.0
12-27,69.0,44.0,40.0,51.0,56.0,58.0,51.0,60.0,49.0,49.0,59.0,66.0,52.0,54.0
12-28,46.0,45.0,50.0,49.0,60.0,59.0,49.0,57.0,50.0,50.0,59.0,69.0,47.0,53.0
12-29,51.0,50.0,61.0,47.0,55.0,62.0,55.0,60.0,54.0,50.0,59.0,70.0,43.0,55.0
12-30,55.0,54.0,63.0,53.0,48.0,68.0,61.0,59.0,67.0,51.0,56.0,69.0,45.0,58.0
12-31,56.0,61.0,65.0,55.0,39.0,66.0,47.0,62.0,48.0,55.0,56.0,64.0,51.0,56.0
